match_id,1_kda,1_winrate,1_cm_points,1_cm_level,1_runes,1_role,1_champion,1_champion_winrate,1_champion_pickrate,1_champion_banrate,2_kda,2_winrate,2_cm_points,2_cm_level,2_runes,2_role,2_champion,2_champion_winrate,2_champion_pickrate,2_champion_banrate,3_kda,3_winrate,3_cm_points,3_cm_level,3_runes,3_role,3_champion,3_champion_winrate,3_champion_pickrate,3_champion_banrate,4_kda,4_winrate,4_cm_points,4_cm_level,4_runes,4_role,4_champion,4_champion_winrate,4_champion_pickrate,4_champion_banrate,5_kda,5_winrate,5_cm_points,5_cm_level,5_runes,5_role,5_champion,5_champion_winrate,5_champion_pickrate,5_champion_banrate,6_kda,6_winrate,6_cm_points,6_cm_level,6_runes,6_role,6_champion,6_champion_winrate,6_champion_pickrate,6_champion_banrate,7_kda,7_winrate,7_cm_points,7_cm_level,7_runes,7_role,7_champion,7_champion_winrate,7_champion_pickrate,7_champion_banrate,8_kda,8_winrate,8_cm_points,8_cm_level,8_runes,8_role,8_champion,8_champion_winrate,8_champion_pickrate,8_champion_banrate,9_kda,9_winrate,9_cm_points,9_cm_level,9_runes,9_role,9_champion,9_champion_winrate,9_champion_pickrate,9_champion_banrate,10_kda,10_winrate,10_cm_points,10_cm_level,10_runes,10_role,10_champion,10_champion_winrate,10_champion_pickrate,10_champion_banrate,won
2247671800,1.31,0.2,1080452,7,Arcane Comet,Role.solo,Lux,50.44,8.86,0.49,5.34,0.67,15773,4,Press the Attack,Role.none,Twitch,51.26,3.31,0.18,0.0,0.0,19795,4,Electrocute,Role.solo,Aatrox,47.46,4.76,3.09,2.04,0.5,46834,5,Lethal Tempo,Role.duo_carry,Xayah,51.11,6.73,0.35,0.0,0.0,106147,7,Guardian,Role.duo_support,Rakan,50.97,5.36,0.15,0.0,0.0,21115,4,Guardian,Role.duo_support,Morgana,50.15,6.79,4.61,3.95,0.67,6631,3,Kleptomancy,Role.duo_carry,Ezreal,47.13,9.43,0.82,0.0,0.0,4717,2,Glacial Augment,Role.solo,Neeko,51.1,2.31,0.19,2.67,0.5,113842,5,Electrocute,Role.solo,Diana,51.47,2.39,0.43,5.23,0.25,248084,7,Conqueror,Role.none,Lee Sin,47.46,11.51,1.34,1
2247903911,3.55,1.0,266017,7,Press the Attack,Role.duo_carry,Draven,49.56,4.2,3.15,0.0,0.0,16072,4,Kleptomancy,Role.solo,Kennen,51.08,2.14,0.29,0.0,0.0,796735,7,Fleet Footwork,Role.solo,Yasuo,48.88,8.44,4.58,8.88,0.5,49441,6,Summon Aery,Role.duo_support,Yuumi,44.38,6.7,4.05,4.9,0.73,129077,5,Electrocute,Role.none,Kha'Zix,52.04,8.35,1.23,0.0,0.0,2649,2,Electrocute,Role.solo,Qiyana,44.85,4.4,2.47,7.04,1.0,281405,7,Summon Aery,Role.duo_support,Karma,49.36,4.5,0.2,3.23,0.75,44562,5,Electrocute,Role.none,Rengar,49.74,4.5,1.23,0.0,0.0,4382,2,Fleet Footwork,Role.duo_carry,Corki,46.69,1.13,0.07,1.75,1.0,202116,7,Arcane Comet,Role.solo,Camille,47.97,3.4,0.19,1
2247874642,3.83,0.5,361640,7,Arcane Comet,Role.solo,Xerath,50.85,3.28,0.14,0.0,0.0,5598,2,Aftershock,Role.duo_support,Lux,50.44,8.86,0.49,0.0,0.0,92201,6,Fleet Footwork,Role.duo_carry,Caitlyn,50.42,9.55,1.02,0.0,0.0,15505,4,Press the Attack,Role.solo,Kled,54.4,2.61,1.07,0.0,0.0,207453,7,Aftershock,Role.none,Zac,51.46,2.32,0.09,0.0,0.0,291159,7,Conqueror,Role.duo_carry,Draven,49.56,4.2,3.15,1.72,0.0,927424,7,Aftershock,Role.duo_support,Thresh,50.61,13.22,1.43,0.0,0.0,103682,5,Conqueror,Role.solo,Irelia,44.86,4.67,0.94,12.51,0.8,63170,7,Conqueror,Role.none,Sylas,46.44,9.24,2.36,4.12,0.62,111927,5,Conqueror,Role.solo,Aatrox,47.46,4.76,3.09,0
2247565707,0.0,0.0,125787,7,Press the Attack,Role.duo_carry,Lucian,48.18,7.49,0.24,0.0,0.0,28130,6,Phase Rush,Role.duo,Ryze,47.55,2.29,0.11,6.33,1.0,116024,7,Conqueror,Role.duo,Sylas,46.44,9.24,2.36,0.0,0.0,86287,7,Conqueror,Role.none,Lee Sin,47.46,11.51,1.34,3.2,0.0,40001,5,Summon Aery,Role.duo_support,Lulu,50.72,5.22,0.36,3.0,0.67,6898,3,Grasp of the Undying,Role.solo,Sion,50.69,1.06,0.02,0.96,0.0,1080452,7,Arcane Comet,Role.solo,Lux,50.44,8.86,0.49,2.75,0.65,891383,7,Aftershock,Role.duo_support,Pyke,50.65,8.82,5.14,0.0,0.0,309966,7,Fleet Footwork,Role.duo_carry,Draven,49.56,4.2,3.15,0.0,0.0,58676,7,Hail of Blades,Role.none,Rek'Sai,50.92,1.75,0.19,0
2247891175,2.5,1.0,202116,7,Arcane Comet,Role.duo,Camille,47.97,3.4,0.19,2.57,0.33,228354,7,Summon Aery,Role.duo,Soraka,52.15,3.78,0.16,0.0,0.0,13445,4,Dark Harvest,Role.duo,Karthus,51.81,2.51,0.67,3.86,0.57,120619,7,Press the Attack,Role.duo,Kai'Sa,49.04,14.2,1.12,1.39,1.0,16367,4,Electrocute,Role.duo,Akali,46.88,7.79,3.9,2.83,0.83,90367,6,Electrocute,Role.duo,Kassadin,51.63,3.09,0.95,0.0,0.0,8992,3,Conqueror,Role.duo,Mordekaiser,50.44,3.39,1.99,4.93,0.67,264093,7,Dark Harvest,Role.duo,Kayn,50.03,6.18,1.08,2.85,0.33,48274,7,Lethal Tempo,Role.duo,Xayah,51.11,6.73,0.35,6.48,0.54,751937,7,Electrocute,Role.duo,Lux,50.44,8.86,0.49,1
2251776580,0.0,0.0,51268,6,Kleptomancy,Role.none,Kayle,47.33,1.56,0.08,0.0,0.0,72774,7,Summon Aery,Role.duo_support,Lux,50.44,8.86,0.49,4.01,0.5,78607,5,Press the Attack,Role.duo_carry,Lucian,48.18,7.49,0.24,1.37,0.67,202116,7,Press the Attack,Role.solo,Camille,47.97,3.4,0.19,14.0,1.0,51338,7,Conqueror,Role.none,Hecarim,52.08,4.42,0.98,5.75,1.0,317562,7,Kleptomancy,Role.solo,Gangplank,49.43,2.41,0.18,2.7,1.0,3476,2,Lethal Tempo,Role.duo,Xayah,51.11,6.73,0.35,2.83,0.5,4239,2,Electrocute,Role.duo,Kassadin,51.63,3.09,0.95,8.6,0.78,21572,4,Conqueror,Role.none,Pantheon,47.23,10.54,2.09,1.78,0.33,1985,2,Aftershock,Role.solo,Pyke,50.65,8.82,5.14,1
2247550618,0.0,0.0,230013,7,Conqueror,Role.none,Kayn,50.03,6.18,1.08,0.0,0.0,217574,7,Electrocute,Role.solo,Fizz,50.74,3.11,1.19,3.45,0.4,1401768,7,Summon Aery,Role.duo_support,Soraka,52.15,3.78,0.16,0.0,0.0,126414,5,Phase Rush,Role.solo,Vladimir,50.39,4.64,2.3,0.0,0.0,334098,7,Press the Attack,Role.duo_carry,Draven,49.56,4.2,3.15,0.0,0.0,4751,2,Kleptomancy,Role.duo,Ezreal,47.13,9.43,0.82,2.68,0.62,891383,7,Aftershock,Role.solo,Pyke,50.65,8.82,5.14,4.5,0.57,556069,7,Arcane Comet,Role.solo,Vel'Koz,50.57,3.48,0.13,0.0,0.0,202116,7,Arcane Comet,Role.duo,Camille,47.97,3.4,0.19,1.39,0.12,645852,7,Dark Harvest,Role.none,Shaco,49.86,2.33,0.22,0
2254034217,3.13,0.67,49034,5,Electrocute,Role.solo,Kha'Zix,52.04,8.35,1.23,3.96,0.58,645852,7,Dark Harvest,Role.none,Shaco,49.86,2.33,0.22,4.78,0.5,82248,7,Fleet Footwork,Role.duo_carry,Caitlyn,50.42,9.55,1.02,3.88,0.54,113778,7,Electrocute,Role.solo,Akali,46.88,7.79,3.9,3.88,0.33,109940,5,Arcane Comet,Role.duo_support,Morgana,50.15,6.79,4.61,3.77,0.63,1799351,7,Conqueror,Role.none,Master Yi,51.13,4.09,1.56,2.97,0.55,1489771,7,Electrocute,Role.solo,Zed,50.25,4.83,4.24,3.3,0.67,109930,7,Summon Aery,Role.duo_support,Nami,52.69,6.71,0.13,0.0,0.0,8765,3,Press the Attack,Role.none,Renekton,47.49,3.77,1.49,4.21,0.8,535095,7,Press the Attack,Role.duo_carry,Miss Fortune,50.73,2.78,0.04,1
2248669008,9.75,0.5,145130,5,Kleptomancy,Role.duo_carry,Ezreal,47.13,9.43,0.82,5.87,0.7,423814,7,Arcane Comet,Role.solo,Lux,50.44,8.86,0.49,3.59,0.8,48551,7,Conqueror,Role.solo,Pantheon,47.23,10.54,2.09,4.58,0.83,19288,4,Electrocute,Role.none,Qiyana,44.85,4.4,2.47,0.0,0.0,12346,3,Aftershock,Role.duo_support,Alistar,47.51,2.59,0.13,1.8,1.0,105510,7,Grasp of the Undying,Role.solo,Fiora,49.03,3.35,0.9,0.0,0.0,59577,5,Press the Attack,Role.duo_carry,Kai'Sa,49.04,14.2,1.12,13.67,1.0,417260,7,Hail of Blades,Role.none,Shaco,49.86,2.33,0.22,1.89,1.0,412194,7,Aftershock,Role.duo_support,Thresh,50.61,13.22,1.43,0.0,0.0,38129,5,Conqueror,Role.solo,Yasuo,48.88,8.44,4.58,0
2248891522,0.0,0.0,2308,2,Aftershock,Role.duo_support,Nautilus,50.75,6.07,1.64,3.42,0.73,646787,7,Arcane Comet,Role.solo,Cho'Gath,49.88,1.81,0.08,4.44,0.67,136044,7,Press the Attack,Role.duo_carry,Kai'Sa,49.04,14.2,1.12,0.0,0.0,131669,7,Conqueror,Role.none,Lee Sin,47.46,11.51,1.34,3.06,0.59,1541839,7,Conqueror,Role.solo,Yasuo,48.88,8.44,4.58,4.39,0.74,1534105,7,Phase Rush,Role.solo,Vladimir,50.39,4.64,2.3,6.35,0.33,1789598,7,Summon Aery,Role.duo_support,Zilean,52.87,2.59,0.16,4.77,0.6,116027,7,Fleet Footwork,Role.duo_carry,Jhin,51.09,6.81,0.2,0.0,0.0,34644,5,Electrocute,Role.none,Gragas,49.47,3.75,0.09,0.0,0.0,49779,6,Electrocute,Role.solo,Zed,50.25,4.83,4.24,0
